img,bank,card_name,card_type,required_income,required_applicant,cashback_rate,cashback_cap,cashback_benchmark,cashback_category,cashback_from,cashback_till,cashback_weekends_only,cashback_monthly_basis,cashback_single_receipt
https://ringgitplus.com/img/card-400/5ab4a9dc2af8f39d1adf1434/aeon-platinum-visa.jpg,aeon,aeon_platinum_visa,visa,5000.0,Anybody,5.0,100,any amount monthly,aeon and aeon big thank you day,0.0,,False,True,False
https://ringgitplus.com/img/card-400/5ab4a9dc2af8f39d1adf1434/aeon-platinum-visa.jpg,aeon,aeon_platinum_visa,visa,5000.0,Anybody,2.0,25,any amount monthly,online utility bill payment,0.0,,False,True,False
https://ringgitplus.com/img/card-400/5badee25bf72ec1126f9cb47/aeon-platinum-mastercard.jpg,aeon,aeon_platinum_mastercard,mastercard,5000.0,Anybody,5.0,100,any amount monthly,aeon and aeon big thank you day,0.0,,False,True,False
https://ringgitplus.com/img/card-400/5badee25bf72ec1126f9cb47/aeon-platinum-mastercard.jpg,aeon,aeon_platinum_mastercard,mastercard,5000.0,Anybody,2.0,25,any amount monthly,online utility bill payment,0.0,,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a00000a/new-aeon-visa-gold.jpg,aeon,new_aeon_visa_gold,visa,3000.0,Anybody,5.0,100,any amount in a single receipt,aeon thank you day,0.0,,False,False,True
https://ringgitplus.com/img/card-400/519489e2193821ed4a000003/aeon-mastercard-gold.jpg,aeon,aeon_mastercard_gold,mastercard,3000.0,Anybody,5.0,25,any amount monthly,dining,0.0,,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a000009/aeon-visa-gold.jpg,aeon,aeon_visa_gold,visa,3000.0,Anybody,5.0,25,any amount monthly,dining,0.0,,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a000002/new-aeon-visa-classic.jpg,aeon,new_aeon_visa_classic,visa,2000.0,Anybody,5.0,100,any amount in a single receipt,aeon thank you day,0.0,,False,False,True
https://ringgitplus.com/img/card-400/519489e2193821ed4a000004/new-aeon-mastercard-gold.jpg,aeon,new_aeon_mastercard_gold,mastercard,3000.0,Anybody,5.0,100,any amount in a single receipt,aeon thank you day,0.0,,False,False,True
https://ringgitplus.com/img/card-400/519489e2193821ed4a000001/new-aeon-mastercard-classic.jpg,aeon,new_aeon_mastercard_classic,mastercard,2000.0,Anybody,5.0,100,any amount in a single receipt,aeon thank you day,0.0,,False,False,True
https://ringgitplus.com/img/card-400/519489e2193821ed4a00000b/aeon-visa-classic.jpg,aeon,aeon_visa_classic,visa,2000.0,Anybody,5.0,100,any amount,aeon big thank you members day,0.0,,False,False,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a000005/aeon-mastercard-classic.jpg,aeon,aeon_mastercard_classic,mastercard,2000.0,Anybody,5.0,100,any amount monthly,aeon big thank you members day,0.0,,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a000014/affinbank-bhpetrol-touch-fuel-mastercard-contactless.jpg,affin_bank,affinbank_bhpetrol_'touch_&_fuel'_mastercard_contactless,mastercard,2000.0,Anybody,10.0,50,any amount on weekends only,petrol spend (weekend),0.0,,True,False,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a000014/affinbank-bhpetrol-touch-fuel-mastercard-contactless.jpg,affin_bank,affinbank_bhpetrol_'touch_&_fuel'_mastercard_contactless,mastercard,2000.0,Anybody,2.0,50,any amount monthly,petrol spend (weekdays),0.0,,False,True,False
https://ringgitplus.com/img/card-400/5f5a03adb2a9381d10775b7e/affin-duo-visa-cash-back.jpg,affin_bank,affin_duo_visa_cash_back,visa,2000.0,Anybody,3.0,80,any amount,e-commerce/online,0.0,,False,False,False
https://ringgitplus.com/img/card-400/5f5a03adb2a9381d10775b7e/affin-duo-visa-cash-back.jpg,affin_bank,affin_duo_visa_cash_back,visa,2000.0,Anybody,3.0,80,any amount,e-wallet reloads/transactions,0.0,,False,False,False
https://ringgitplus.com/img/card-400/5f5a03adb2a9381d10775b7e/affin-duo-visa-cash-back.jpg,affin_bank,affin_duo_visa_cash_back,visa,2000.0,Anybody,3.0,80,any amount,auto-billing,0.0,,False,False,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a000028/alliance-bank-younique-great-rebates.jpg,alliance_bank,alliance_bank_you:nique_great_rebates,,2000.0,Anybody,0.3,10000000000,"from RM3,001 and above monthly",all retail,3001.0,,False,True,False
https://ringgitplus.com/img/card-400/5f88003140679bd7123bd035/ambank-cash-rebate-visa-platinum.jpg,ambank,ambank_cash_rebate_visa_platinum,visa,2000.0,Anybody,1.0,5,"from RM500 up to RM1,499 monthly","groceries, pharmacy, online transactions",500.0,1499.0,False,True,False
https://ringgitplus.com/img/card-400/5f88003140679bd7123bd035/ambank-cash-rebate-visa-platinum.jpg,ambank,ambank_cash_rebate_visa_platinum,visa,2000.0,Anybody,0.1,10000000000,from RM1 and above monthly,"other retail spends (exclude petrol, government and charity)",1.0,,False,True,False
https://ringgitplus.com/img/card-400/5fc7424981f128e811b9bb2a/ambank-islamic-visa-platinum-carz-card-i.jpg,ambank,ambank_islamic_visa_platinum_carz_card_i,visa,4000.0,Anybody,5.0,80,any amount monthly,petrol (on partial credit card payment),0.0,,False,True,False
https://ringgitplus.com/img/card-400/5fc7424981f128e811b9bb2a/ambank-islamic-visa-platinum-carz-card-i.jpg,ambank,ambank_islamic_visa_platinum_carz_card_i,visa,4000.0,Anybody,2.0,20,any amount monthly,petrol (on full credit card payment),0.0,,False,True,False
https://ringgitplus.com/img/card-400/5fd3197981f128e811b9bb60/bsn-visa-cash-back-credit-card.jpg,bsn,bsn_visa_cash_back_credit_card,visa,4000.0,Anybody,0.2,15,from RM1 up to RM999 monthly,"groceries, dining & petrol",1.0,999.0,False,True,False
https://ringgitplus.com/img/card-400/5fd3197981f128e811b9bb60/bsn-visa-cash-back-credit-card.jpg,bsn,bsn_visa_cash_back_credit_card,visa,4000.0,Anybody,1.0,10000000000,from RM1 and above monthly,overseas spend,1.0,,False,True,False
